Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name,Platform,Genre,Publisher
2658,2009.0,0.34,0.35,0.0,0.08,0.78,avatarthegame,x360,action,ubisoft
2659,2009.0,0.28,0.4,0.0,0.09,0.77,harrypotterandthehalfbloodprince,wii,action,electronicarts
2660,2009.0,0.47,0.23,0.0,0.07,0.77,djhero,wii,misc,activision
2661,2005.0,0.66,0.02,0.03,0.06,0.77,perfectdarkzero,x360,shooter,microsoftgamestudios
2662,1982.0,0.72,0.05,0.0,0.01,0.77,galaxian,2600,shooter,atari
2663,1996.0,0.43,0.29,0.0,0.05,0.77,andrettiracing,ps,racing,electronicarts
2664,2000.0,0.43,0.29,0.0,0.05,0.77,caesarspalace2000millenniumgoldedition,ps,misc,interplay
2665,2013.0,0.67,0.05,0.0,0.05,0.77,maddennfl25,xone,sports,electronicarts
2666,1981.0,0.72,0.04,0.0,0.01,0.77,airraid,2600,action,menavision
2667,2008.0,0.23,0.32,0.03,0.19,0.77,needforspeedundercover,psp,racing,electronicarts
2668,2011.0,0.33,0.31,0.0,0.12,0.77,dukenukemforever,ps3,shooter,taketwointeractive
2669,2014.0,0.22,0.14,0.32,0.1,0.77,freedomwars,psv,roleplaying,sonycomputerentertainment
2670,2005.0,0.64,0.02,0.0,0.1,0.77,marvelnemesisriseoftheimperfects,ps2,fighting,electronicarts
2671,1980.0,0.72,0.04,0.0,0.01,0.77,boxing,2600,fighting,activision
2672,1999.0,0.43,0.29,0.0,0.05,0.77,needforspeedporscheunleashed,ps,racing,electronicarts
2673,2009.0,0.37,0.19,0.11,0.1,0.77,dragonballragingblast,ps3,fighting,namcobandaigames
2674,1983.0,0.72,0.04,0.0,0.01,0.77,crystalcastles,2600,action,atari
2675,2001.0,0.53,0.22,0.0,0.02,0.77,conkersbadfurday,n64,platform,thq
2676,1999.0,0.0,0.0,0.77,0.0,0.77,dragonwarrioriii,gb,roleplaying,enixcorporation
2677,2002.0,0.55,0.2,0.0,0.01,0.77,starwarsepisodeiiattackoftheclones,gba,action,thq
2678,2008.0,0.61,0.1,0.0,0.06,0.77,mybabygirl,ds,simulation,nobilis
2679,2012.0,0.43,0.27,0.0,0.06,0.77,legobatman2dcsuperheroes,ds,action,warnerbrosinteractiveentertainment
2680,2005.0,0.71,0.0,0.0,0.06,0.77,twistedmetalheadon,psp,action,sonycomputerentertainment
2681,2003.0,0.38,0.29,0.0,0.1,0.77,conflictdesertstormiibacktobagdhad,ps2,shooter,sci
2682,2001.0,0.38,0.29,0.0,0.1,0.77,maximoghoststoglory,ps2,platform,capcom
2683,2004.0,0.21,0.14,0.38,0.04,0.77,pokemondash,ds,racing,nintendo
2684,2005.0,0.45,0.17,0.14,0.01,0.77,donkeykongcountry3,gba,platform,nintendo
2685,2002.0,0.38,0.29,0.0,0.1,0.77,allstarbaseball2003,ps2,sports,acclaimentertainment
2686,2002.0,0.1,0.08,0.56,0.03,0.77,unlimitedsaga,ps2,roleplaying,atari
2687,2003.0,0.37,0.29,0.0,0.1,0.76,cabelasdeerhunt2004season,ps2,sports,activisionvalue
2688,2008.0,0.37,0.04,0.0,0.36,0.76,sonicunleashed,ps2,platform,sega
2689,1996.0,0.18,0.12,0.42,0.05,0.76,formula1,ps,racing,psygnosis
2690,2014.0,0.22,0.4,0.01,0.14,0.76,plantsvszombiesgardenwarfare,ps3,shooter,electronicarts
2691,2010.0,0.22,0.47,0.0,0.08,0.76,ravingrabbidstravelintime,wii,adventure,ubisoft
2692,2011.0,0.3,0.37,0.03,0.07,0.76,thesims3,3ds,simulation,electronicarts
2693,2004.0,0.36,0.38,0.0,0.03,0.76,driv3r,xb,racing,atari
2694,2005.0,0.64,0.02,0.0,0.1,0.76,mercenariesplaygroundofdestruction,ps2,action,lucasarts
2695,2003.0,0.37,0.29,0.0,0.1,0.76,mtvcelebritydeathmatch,ps2,fighting,gothamgames
2696,1995.0,0.17,0.11,0.43,0.05,0.76,streetfighteralphawarriorsdreams,ps,fighting,virgininteractive
2697,2012.0,0.47,0.18,0.0,0.12,0.76,mortalkombat,psv,fighting,warnerbrosinteractiveentertainment
2698,1998.0,0.0,0.0,0.71,0.05,0.76,issproevolution,ps,sports,konamidigitalentertainment
2699,2010.0,0.38,0.24,0.08,0.06,0.76,lostplanet2,x360,shooter,capcom
2700,2012.0,0.35,0.24,0.07,0.1,0.76,soulcaliburv,ps3,fighting,namcobandaigames
2701,2011.0,0.33,0.32,0.0,0.11,0.76,portal2,pc,shooter,valvesoftware
2702,2005.0,0.7,0.01,0.0,0.06,0.76,supermonkeyballtouchroll,ds,misc,sega
2703,2014.0,0.09,0.43,0.11,0.13,0.76,proevolutionsoccer2015,ps4,sports,konamidigitalentertainment
2704,2009.0,0.29,0.39,0.0,0.08,0.76,drawntolifethenextchapter,wii,puzzle,thq
2705,2009.0,0.38,0.26,0.0,0.12,0.76,thelordoftheringsconquest,ps3,action,electronicarts
2706,1988.0,0.0,0.0,0.76,0.0,0.76,finalfantasyii,nes,roleplaying,squaresoft
2707,2001.0,0.59,0.16,0.0,0.01,0.76,tonyhawksproskater2,n64,sports,activision
2708,2002.0,0.0,0.0,0.76,0.0,0.76,taikonotatsujintatakondedodongadon,ps2,misc,namcobandaigames
2709,2005.0,0.09,0.03,0.62,0.02,0.76,megamanbattlenetwork6cybeastfalzargregar,gba,roleplaying,capcom
2710,2004.0,0.37,0.29,0.0,0.1,0.76,syphonfiltertheomegastrain,ps2,shooter,sonycomputerentertainment
2711,2010.0,0.11,0.29,0.0,0.36,0.76,fifasoccer11,ps2,sports,electronicarts
2712,2009.0,0.67,0.04,0.0,0.05,0.76,deerdrive,wii,sports,bigbeninteractive
2713,2007.0,0.36,0.31,0.01,0.08,0.76,kanelynchdeadmen,x360,shooter,eidosinteractive
2714,2011.0,0.14,0.48,0.0,0.14,0.76,assassinscreedrevelations,pc,action,ubisoft
2715,2004.0,0.61,0.12,0.0,0.03,0.76,mortalkombatdeception,xb,fighting,midwaygames
2716,2009.0,0.27,0.15,0.3,0.04,0.76,aceattorneyinvestigationsmilesedgeworth,ds,adventure,capcom
2717,2004.0,0.54,0.2,0.0,0.01,0.76,thatssoraven,gba,adventure,disneyinteractivestudios
2718,2014.0,0.24,0.46,0.0,0.06,0.76,fifa15,wii,sports,electronicarts
2719,2002.0,0.31,0.24,0.13,0.08,0.76,marvelvscapcom2newageofheroes,ps2,fighting,capcom
2720,2009.0,0.16,0.38,0.01,0.21,0.76,needforspeedshift,psp,racing,electronicarts
2721,2007.0,0.29,0.32,0.01,0.13,0.76,kanelynchdeadmen,ps3,shooter,eidosinteractive
2722,2014.0,0.48,0.2,0.01,0.06,0.76,darksoulsii,x360,roleplaying,namcobandaigames
2723,2005.0,0.57,0.02,0.07,0.09,0.76,truecrimenewyorkcity,ps2,action,activision
2724,2001.0,0.37,0.29,0.0,0.1,0.76,legendsofwrestling,ps2,fighting,acclaimentertainment
2725,2006.0,0.28,0.39,0.0,0.09,0.76,rockstargamespresentstabletennis,x360,sports,taketwointeractive
2726,2010.0,0.24,0.44,0.0,0.08,0.76,monopolystreets,wii,misc,electronicarts
2727,2006.0,0.18,0.38,0.06,0.14,0.76,genjidaysoftheblade,ps3,action,sonycomputerentertainment
2728,2008.0,0.6,0.09,0.02,0.05,0.76,harvestmoonanimalparade,wii,simulation,risingstargames
2729,1991.0,0.0,0.0,0.76,0.0,0.76,finalfantasylegendiii,gb,roleplaying,squaresoft
2730,2013.0,0.12,0.53,0.0,0.11,0.76,totalwarromeii,pc,strategy,sega
2731,2015.0,0.47,0.21,0.01,0.07,0.75,rarereplay,xone,misc,microsoftgamestudios
2732,2007.0,0.67,0.03,0.0,0.06,0.75,spectrobes,ds,roleplaying,disneyinteractivestudios
2733,2008.0,0.21,0.0,0.0,0.54,0.75,walle,ps2,platform,thq
2734,2008.0,0.41,0.21,0.0,0.14,0.75,wwesmackdownvsraw2009,psp,fighting,thq
2735,2009.0,0.41,0.24,0.0,0.11,0.75,bandhero,ps3,misc,activision
2736,2000.0,0.3,0.21,0.2,0.05,0.75,megamanx5,ps,platform,capcom
2737,2013.0,0.17,0.39,0.0,0.19,0.75,tearaway,psv,adventure,sonycomputerentertainmenteurope
2738,2010.0,0.47,0.19,0.0,0.09,0.75,djhero2,ps3,misc,activision
2739,2009.0,0.41,0.22,0.01,0.11,0.75,thegodfatherii,ps3,action,electronicarts
2740,2009.0,0.51,0.17,0.0,0.07,0.75,wwesmackdownvsraw2010,wii,fighting,thq
2741,2008.0,0.46,0.21,0.01,0.07,0.75,turok,x360,action,touchstone
2742,2012.0,0.36,0.28,0.0,0.11,0.75,prototype2,ps3,action,activision
2743,2004.0,0.37,0.29,0.0,0.1,0.75,sharktale,ps2,action,activision
2744,1997.0,0.63,0.11,0.0,0.01,0.75,sanfranciscorushextremeracing,n64,racing,gtinteractive
2745,2012.0,0.43,0.26,0.0,0.06,0.75,theamazingspidermanconsoleversion,x360,action,activision
2746,2001.0,0.3,0.24,0.13,0.08,0.75,zoneoftheenders,ps2,shooter,konamidigitalentertainment
2747,2009.0,0.33,0.28,0.02,0.12,0.75,redfactionguerrilla,ps3,shooter,thq
2748,1997.0,0.28,0.19,0.23,0.05,0.75,streetfighterexplusalpha,ps,fighting,virgininteractive
2749,2005.0,0.69,0.0,0.0,0.06,0.75,maddennfl06,psp,sports,electronicarts
2750,2005.0,0.28,0.29,0.0,0.18,0.75,codedarms,psp,shooter,konamidigitalentertainment
2751,2004.0,0.48,0.24,0.0,0.03,0.75,tonyhawksunderground2,xb,sports,activision
2752,2008.0,0.32,0.18,0.19,0.05,0.75,talesofvesperia,x360,roleplaying,atari
2753,2009.0,0.31,0.32,0.0,0.13,0.75,xmenoriginswolverineuncagededition,ps3,action,activision
2754,2008.0,0.42,0.26,0.0,0.07,0.75,madagascarescape2africa,ds,action,activision
2755,2010.0,0.31,0.31,0.01,0.12,0.75,splitsecond,ps3,racing,disneyinteractivestudios
2756,2001.0,0.22,0.17,0.3,0.06,0.75,capcomvssnk2markofthemillennium2001,ps2,fighting,capcom
2757,2006.0,0.62,0.02,0.0,0.1,0.75,mvp06ncaabaseball,ps2,sports,electronicarts
2758,2014.0,0.4,0.28,0.0,0.07,0.75,justdance2015,wiiu,misc,ubisoft
2759,2014.0,0.46,0.22,0.01,0.06,0.75,borderlandsthepresequel,x360,shooter,taketwointeractive
2760,2014.0,0.2,0.43,0.01,0.11,0.75,littlebigplanet3,ps3,platform,sonycomputerentertainment
2761,2009.0,0.49,0.16,0.0,0.09,0.75,marvelultimatealliance2,ps3,roleplaying,activision
2762,2008.0,0.29,0.37,0.0,0.08,0.75,segasuperstarstennis,ds,sports,sega
2763,2012.0,0.55,0.14,0.0,0.05,0.75,thewalkingdeadseasonone,x360,adventure,avanquestsoftware
2764,2011.0,0.3,0.16,0.22,0.07,0.74,acecombatassaulthorizon,ps3,action,namcobandaigames
2765,2006.0,0.0,0.0,0.74,0.0,0.74,jumpultimatestars,ds,fighting,nintendo
2766,2001.0,0.36,0.28,0.0,0.1,0.74,jampacksummer2001,ps2,misc,sonycomputerentertainment
2767,2010.0,0.2,0.22,0.24,0.09,0.74,resonanceoffate,ps3,roleplaying,sega
2768,2001.0,0.36,0.28,0.0,0.1,0.74,burnout,ps2,racing,acclaimentertainment
2769,2007.0,0.42,0.19,0.0,0.14,0.74,tomclancysrainbowsixvegas,psp,shooter,ubisoft
2770,2011.0,0.36,0.3,0.02,0.06,0.74,finalfantasyxiii2,x360,roleplaying,squareenix
2771,2012.0,0.41,0.27,0.0,0.06,0.74,legobatman2dcsuperheroes,3ds,action,warnerbrosinteractiveentertainment
2772,2006.0,0.67,0.01,0.0,0.06,0.74,mortalkombatunchained,psp,fighting,midwaygames
2773,2015.0,0.16,0.3,0.25,0.04,0.74,marioluigipaperjam,3ds,roleplaying,nintendo
2774,2001.0,0.42,0.16,0.15,0.01,0.74,yugiohdungeondicemonsters,gba,misc,konamidigitalentertainment
2775,2011.0,0.29,0.32,0.01,0.12,0.74,brink,ps3,shooter,bethesdasoftworks
2776,2013.0,0.31,0.35,0.02,0.06,0.74,legomarvelsuperheroes,wiiu,action,warnerbrosinteractiveentertainment
2777,2010.0,0.22,0.37,0.02,0.13,0.74,blur,ps3,racing,activision
2778,2007.0,0.7,0.0,0.0,0.05,0.74,maddennfl11,wii,sports,unknown
2779,2007.0,0.68,0.0,0.0,0.05,0.74,namcomuseumremix,wii,misc,atari
2780,2005.0,0.61,0.1,0.0,0.03,0.74,midnightclub3dubedition,xb,racing,taketwointeractive
2781,2011.0,0.16,0.45,0.0,0.13,0.74,crysis2,pc,action,electronicarts
2782,2002.0,0.53,0.2,0.0,0.01,0.74,thelordoftheringsthetwotowers,gba,action,electronicarts
2783,2001.0,0.36,0.28,0.0,0.09,0.74,tigerwoodspgatour2001,ps2,sports,electronicarts
2784,2009.0,0.36,0.3,0.0,0.08,0.74,indianajonesandthestaffofkings,wii,action,activision
2785,1999.0,0.41,0.28,0.0,0.05,0.74,jetmoto3,ps,racing,sonycomputerentertainment
2786,2012.0,0.27,0.25,0.14,0.08,0.74,narutoshippudenultimateninjastormgenerations,ps3,fighting,namcobandaigames
2787,2002.0,0.59,0.12,0.0,0.03,0.74,unrealchampionship,xb,shooter,atari
2788,2007.0,0.16,0.06,0.5,0.02,0.74,wariowaretwisted,gba,puzzle,unknown
2789,2007.0,0.17,0.41,0.0,0.15,0.74,piratesofthecaribbeanatworldsend,ps3,action,disneyinteractivestudios
2790,2007.0,0.22,0.38,0.0,0.14,0.74,tigerwoodspgatour08,ps3,sports,electronicarts
2791,2012.0,0.3,0.12,0.24,0.07,0.74,persona4arena,ps3,fighting,atlus
2792,2003.0,0.31,0.11,0.3,0.02,0.74,swordofmana,gba,roleplaying,nintendo
2793,2007.0,0.44,0.01,0.25,0.04,0.74,harvestmoondsislandofhappiness,ds,simulation,risingstargames
2794,2010.0,0.28,0.16,0.22,0.08,0.73,staroceanthelasthopeinternational,ps3,roleplaying,squareenix
2795,2007.0,0.63,0.05,0.0,0.06,0.73,thesims2castaway,ds,simulation,electronicarts
2796,1997.0,0.14,0.09,0.46,0.05,0.73,fifaroadtoworldcup98,ps,sports,electronicarts
2797,1993.0,0.0,0.0,0.73,0.0,0.73,dragonballzultimemenace,snes,fighting,namcobandaigames
2798,2004.0,0.4,0.15,0.17,0.01,0.73,classicnesseriesdonkeykong,gba,platform,nintendo
2799,2013.0,0.23,0.41,0.0,0.09,0.73,callofdutyghosts,pc,shooter,activision
2800,1991.0,0.0,0.0,0.73,0.0,0.73,yoshi,gb,puzzle,nintendo
2801,1998.0,0.55,0.17,0.0,0.01,0.73,mortalkombat4,n64,fighting,gtinteractive
2802,2011.0,0.11,0.51,0.01,0.09,0.73,f12011,x360,racing,codemasters
2803,2009.0,0.63,0.04,0.0,0.06,0.73,maddennfl10,wii,sports,electronicarts
2804,2005.0,0.37,0.0,0.32,0.04,0.73,kirbycanvascurse,ds,platform,nintendo
2805,1999.0,0.41,0.28,0.0,0.05,0.73,croc2,ps,platform,foxinteractive
2806,2007.0,0.0,0.0,0.73,0.0,0.73,practiseenglish,ds,misc,nintendo
2807,2001.0,0.54,0.16,0.0,0.03,0.73,oddworldmunchsoddysee,xb,platform,atari
2808,1981.0,0.68,0.04,0.0,0.01,0.73,berzerk,2600,shooter,atari
2809,2010.0,0.61,0.07,0.0,0.05,0.73,nhl11,x360,sports,electronicarts
2810,2014.0,0.32,0.34,0.0,0.07,0.73,dragonageinquisition,pc,roleplaying,electronicarts
2811,2009.0,0.67,0.01,0.0,0.05,0.73,icarly,ds,adventure,activision
2812,2011.0,0.23,0.41,0.01,0.08,0.73,dirt3,x360,racing,codemasters
2813,2006.0,0.67,0.0,0.0,0.06,0.73,ncaafootball07,x360,sports,electronicarts
2814,2011.0,0.0,0.0,0.73,0.0,0.73,justdancewii,wii,misc,nintendo
2815,2004.0,0.54,0.16,0.0,0.03,0.73,fullspectrumwarrior,xb,strategy,thq
2816,2004.0,0.47,0.02,0.17,0.08,0.73,katamaridamacy,ps2,puzzle,namcobandaigames
2817,2003.0,0.52,0.19,0.0,0.01,0.73,beybladevforceultimatebladerjam,gba,action,atari
2818,2012.0,0.47,0.14,0.02,0.09,0.73,ratchetclankcollection,ps3,action,sonycomputerentertainment
2819,2009.0,0.33,0.32,0.0,0.08,0.73,avatarthegame,wii,action,ubisoft
2820,2001.0,0.36,0.28,0.0,0.09,0.73,shaunpalmersprosnowboarder,ps2,sports,codemasters
2821,2009.0,0.52,0.15,0.0,0.06,0.73,mxvsatvreflex,x360,racing,thq
2822,2008.0,0.34,0.31,0.0,0.08,0.73,imagineinteriordesigner,ds,simulation,ubisoft
2823,2012.0,0.38,0.28,0.0,0.06,0.72,ssx,x360,sports,electronicarts
2824,2012.0,0.16,0.02,0.53,0.01,0.72,stylesavvytrendsetters,3ds,simulation,nintendo
2825,2002.0,0.56,0.15,0.0,0.02,0.72,jamesbond007agentunderfire,gc,shooter,electronicarts
2826,2012.0,0.26,0.36,0.0,0.1,0.72,xcomenemyunknown,pc,strategy,taketwointeractive
2827,2009.0,0.35,0.3,0.0,0.07,0.72,rabbidsgohome,ds,platform,ubisoft
2828,2005.0,0.52,0.19,0.0,0.01,0.72,starwarsepisodeiiirevengeofthesith,gba,action,ubisoft
2829,2005.0,0.6,0.02,0.0,0.1,0.72,ultimatespiderman,ps2,action,activision
2830,2012.0,0.19,0.46,0.0,0.08,0.72,fifasoccer13,wii,action,electronicarts
2831,2010.0,0.0,0.0,0.72,0.0,0.72,godeater,psp,action,unknown
2832,2014.0,0.32,0.22,0.08,0.1,0.72,finalfantasyxivarealmreborn,ps4,roleplaying,squareenix
2833,1998.0,0.0,0.0,0.67,0.05,0.72,sdgundamggeneration,ps,strategy,namcobandaigames
2834,1996.0,0.4,0.27,0.0,0.05,0.72,area51,ps,shooter,gtinteractive
2835,2007.0,0.59,0.02,0.01,0.1,0.72,nbalive08,ps2,sports,electronicarts
2836,2002.0,0.53,0.17,0.0,0.03,0.72,deadtorights,xb,shooter,electronicarts
2837,2006.0,0.6,0.02,0.0,0.1,0.72,tigerwoodspgatour07,ps2,sports,electronicarts
2838,1999.0,0.4,0.27,0.0,0.05,0.72,testdrive6,ps,racing,atari
2839,2005.0,0.0,0.0,0.7,0.02,0.72,kouchuuoujamushiking,gba,action,sega
2840,2007.0,0.35,0.3,0.0,0.07,0.72,legoharrypotteryears57,ds,action,warnerbrosinteractiveentertainment
2841,2007.0,0.67,0.0,0.0,0.05,0.72,majorleaguebaseball2k7,x360,sports,spike
2842,2001.0,0.4,0.27,0.0,0.05,0.72,xmenmutantacademy2,ps,fighting,activision
2843,2013.0,0.35,0.31,0.0,0.06,0.72,terraria,x360,action,505games
2844,2001.0,0.35,0.28,0.0,0.09,0.72,jampackwinter2001,ps2,misc,sonycomputerentertainment
2845,1982.0,0.67,0.04,0.0,0.01,0.72,kangaroo,2600,platform,atari
2846,2010.0,0.18,0.38,0.02,0.13,0.72,jamesbond007bloodstone,ps3,shooter,activision
2847,2007.0,0.23,0.31,0.0,0.18,0.72,ben10protectorofearth,psp,action,d3publisher
2848,2007.0,0.62,0.04,0.0,0.06,0.72,skate,x360,sports,electronicarts
2849,2002.0,0.51,0.19,0.0,0.01,0.72,supermonkeyballjr,gba,puzzle,atari
2850,2011.0,0.25,0.39,0.0,0.08,0.72,driversanfrancisco,x360,racing,ubisoft
2851,2009.0,0.66,0.0,0.0,0.05,0.72,mlb09theshow,ps3,sports,sonycomputerentertainment
2852,2012.0,0.26,0.19,0.22,0.04,0.72,monsterhuntertri,wiiu,roleplaying,nintendo
2853,2003.0,0.05,0.04,0.61,0.01,0.72,mobilesuitgundamencountersinspace,ps2,simulation,namcobandaigames
2854,2011.0,0.3,0.15,0.2,0.07,0.72,catherine,ps3,adventure,deepsilver
2855,1998.0,0.4,0.27,0.0,0.05,0.72,feareffect,ps,action,eidosinteractive
2856,2010.0,0.13,0.5,0.0,0.09,0.72,fifasoccer11,ds,sports,electronicarts
2857,2007.0,0.0,0.69,0.0,0.03,0.72,crysis,pc,shooter,electronicarts
2858,2010.0,0.19,0.53,0.0,0.0,0.71,battlefieldbadcompany2,pc,shooter,electronicarts
2859,2002.0,0.45,0.24,0.0,0.03,0.71,thelordoftheringsthetwotowers,xb,action,electronicarts
2860,2002.0,0.67,0.02,0.0,0.03,0.71,maddennfl2003,xb,sports,electronicarts
2861,2007.0,0.18,0.01,0.5,0.02,0.71,dragonquestswordsthemaskedqueenandthetowerofmirrors,wii,roleplaying,squareenix
2862,2013.0,0.66,0.0,0.0,0.05,0.71,mlb13theshow,ps3,sports,sonycomputerentertainment
2863,2011.0,0.42,0.23,0.0,0.06,0.71,omertacityofgangsters,x360,simulation,konamidigitalentertainment
2864,2015.0,0.16,0.13,0.37,0.06,0.71,dragonquestheroestheworldstreewoeandtheblightbelow,ps4,action,squareenix
2865,2003.0,0.35,0.27,0.0,0.09,0.71,virtuafighter4evolution,ps2,fighting,sega
2866,2011.0,0.17,0.4,0.0,0.14,0.71,topspin4,ps3,sports,taketwointeractive
2867,2000.0,0.23,0.15,0.29,0.05,0.71,residentevilsurvivor,ps,action,eidosinteractive
2868,2007.0,0.18,0.08,0.41,0.04,0.71,dynastywarriors6,ps3,action,tecmokoei
2869,2002.0,0.35,0.27,0.0,0.09,0.71,supertrucksracing,ps2,racing,jesterinteractive
2870,2014.0,0.33,0.07,0.27,0.04,0.71,personaqshadowofthelabyrinth,3ds,roleplaying,nipponichisoftware
2871,2007.0,0.6,0.04,0.0,0.07,0.71,maddennfl08,psp,sports,electronicarts
2872,2002.0,0.55,0.14,0.0,0.02,0.71,godzilladestroyallmonstersmelee,gc,fighting,atari
2873,2000.0,0.4,0.27,0.0,0.05,0.71,jeremymcgrathsupercross2000,ps,racing,acclaimentertainment
2874,2005.0,0.49,0.2,0.0,0.02,0.71,conkerliveandreloaded,xb,adventure,microsoftgamestudios
2875,2003.0,0.35,0.27,0.0,0.09,0.71,silenthill3,ps2,action,konamidigitalentertainment
2876,2008.0,0.65,0.0,0.0,0.06,0.71,maddennfl09,psp,sports,electronicarts
2877,2015.0,0.29,0.25,0.06,0.11,0.71,finalfantasyxx2hdremaster,ps4,roleplaying,squareenix
2878,2002.0,0.49,0.13,0.07,0.02,0.71,yugiohthefalseboundkingdom,gc,strategy,konamidigitalentertainment
2879,2009.0,0.42,0.22,0.0,0.07,0.71,legorockband,wii,misc,warnerbrosinteractiveentertainment
2880,2010.0,0.66,0.0,0.0,0.05,0.71,mlb10theshow,ps3,sports,sonycomputerentertainment
2881,2002.0,0.55,0.14,0.0,0.02,0.71,spyroenterthedragonfly,gc,platform,universalinteractive
2882,2004.0,0.51,0.19,0.0,0.01,0.71,scoobydoo2monstersunleashed,gba,action,thq
2883,2004.0,0.35,0.27,0.0,0.09,0.71,powerrangersdinothunder,ps2,action,thq
2884,2015.0,0.0,0.0,0.71,0.0,0.71,rhythmheaventhebest,3ds,misc,nintendo
2885,1999.0,0.51,0.18,0.0,0.01,0.71,legoracers,n64,racing,legomedia
2886,1999.0,0.57,0.13,0.0,0.01,0.71,wwfattitude,n64,fighting,acclaimentertainment
2887,1997.0,0.39,0.09,0.17,0.06,0.71,blastcorps,n64,action,nintendo
2888,2010.0,0.14,0.37,0.0,0.19,0.71,legoharrypotteryears14,psp,action,warnerbrosinteractiveentertainment
2889,1995.0,0.0,0.0,0.71,0.0,0.71,tacticsogreletusclingtogether,snes,roleplaying,quest
2890,2003.0,0.2,0.05,0.44,0.02,0.71,wariowareincmegapartygame,gc,puzzle,nintendo
2891,2013.0,0.0,0.6,0.0,0.1,0.71,footballmanager2014,pc,sports,sega
2892,1995.0,0.15,0.1,0.41,0.05,0.71,battlearenatoshinden2,ps,fighting,sonycomputerentertainment
2893,2010.0,0.22,0.31,0.0,0.17,0.71,wwesmackdownvsraw2011,psp,fighting,thq
2894,1997.0,0.39,0.27,0.0,0.05,0.71,jeopardy,ps,misc,hasbrointeractive
2895,1998.0,0.39,0.27,0.0,0.05,0.71,southpark,ps,shooter,acclaimentertainment
2896,2015.0,0.37,0.26,0.01,0.06,0.71,metalgearsolidvthephantompain,xone,action,konamidigitalentertainment
2897,2007.0,0.41,0.23,0.0,0.07,0.71,twoworlds,x360,roleplaying,southpeakgames
2898,2005.0,0.53,0.15,0.0,0.03,0.71,doom3resurrectionofevil,xb,shooter,activision
2899,2008.0,0.65,0.0,0.0,0.05,0.71,ncaafootball09,x360,sports,electronicarts
2900,2008.0,0.5,0.14,0.0,0.07,0.71,nbalive09,x360,sports,electronicarts
2901,2013.0,0.3,0.29,0.0,0.11,0.71,ratchetclankintothenexus,ps3,shooter,sonycomputerentertainment
2902,2005.0,0.35,0.21,0.0,0.14,0.71,spiderman2,psp,action,activision
2903,2014.0,0.15,0.39,0.01,0.16,0.71,2014fifaworldcupbrazil,ps3,sports,electronicarts
2904,2012.0,0.06,0.5,0.0,0.15,0.7,london2012theofficialvideogameoftheolympicgames,ps3,sports,sega
2905,2011.0,0.55,0.1,0.0,0.05,0.7,nhl12,x360,sports,electronicarts
2906,2003.0,0.54,0.14,0.0,0.02,0.7,tonyhawksunderground,gc,sports,activision
2907,2008.0,0.34,0.18,0.12,0.06,0.7,infiniteundiscovery,x360,roleplaying,squareenix
2908,1994.0,0.0,0.0,0.7,0.0,0.7,superbomberman3,snes,puzzle,hudsonsoft
2909,1998.0,0.39,0.27,0.0,0.05,0.7,commandconquerredalertretaliation,ps,strategy,virgininteractive
2910,2008.0,0.32,0.31,0.0,0.07,0.7,thesims2apartmentpets,ds,simulation,electronicarts
2911,2001.0,0.52,0.16,0.0,0.02,0.7,starwarsobiwan,xb,action,activision
2912,2007.0,0.65,0.0,0.0,0.05,0.7,ncaafootball08,x360,sports,electronicarts
2913,2003.0,0.34,0.27,0.0,0.09,0.7,killswitch,ps2,shooter,sonycomputerentertainment
2914,2011.0,0.54,0.1,0.0,0.06,0.7,lalaloopsy,ds,simulation,activision
2915,2004.0,0.54,0.14,0.0,0.02,0.7,maddennfl2005,gc,sports,electronicarts
2916,2001.0,0.5,0.19,0.0,0.01,0.7,f14tomcat,gba,action,majescoentertainment
2917,2001.0,0.34,0.27,0.0,0.09,0.7,splashdown,ps2,racing,atari
2918,1997.0,0.39,0.27,0.0,0.05,0.7,ncaafootball98,ps,sports,electronicarts
2919,2005.0,0.48,0.19,0.0,0.03,0.7,jadeempire,xb,roleplaying,microsoftgamestudios
2920,2009.0,0.28,0.3,0.0,0.12,0.7,transformersrevengeofthefallenxbox360ps3pcversions,ps3,shooter,activision
2921,2010.0,0.39,0.25,0.0,0.06,0.7,thesims3,ds,simulation,electronicarts
2922,2014.0,0.39,0.25,0.0,0.06,0.7,skylanderstrapteam,wiiu,action,activision
2923,2010.0,0.19,0.36,0.01,0.13,0.7,princeofpersiatheforgottensands,ps3,action,ubisoft
2924,1998.0,0.04,0.03,0.58,0.05,0.7,chocobosdungeon2,ps,roleplaying,squaresoft
2925,2001.0,0.5,0.19,0.0,0.01,0.7,advancewars,gba,strategy,nintendo
2926,2009.0,0.38,0.25,0.0,0.07,0.7,hannahmontanathemovie,ds,adventure,disneyinteractivestudios
2927,2009.0,0.43,0.2,0.0,0.06,0.7,worldofzoo,ds,simulation,thq
2928,2005.0,0.52,0.01,0.12,0.05,0.7,apeescapeontheloose,psp,platform,sonycomputerentertainment
2929,2000.0,0.34,0.27,0.0,0.09,0.7,nascar2001,ps2,racing,electronicarts
2930,2009.0,0.34,0.26,0.0,0.1,0.7,il2sturmovikbirdsofprey,ps3,simulation,505games
2931,2012.0,0.13,0.4,0.0,0.16,0.7,bookofspells,ps3,action,sonycomputerentertainment
